"Timestamp","Programme of Study","Faculty of Your study"," Name of the Department ","Semester of Study","Residence","Gender","Category","Academic [Content of Syllabi of the courses]","Academic [Experience with extend and delivery of syllabus covered in the class]","Academic [Use  of teaching aids and ICT in the class to facilitate teaching ]","Academic [Experience with Internal assessement]","Academic [Student Teacher Interaction]","Academic [Use of non-traditional methods of evaluation like quiz, assignments, seminar, presentation etc.]","Academic [Integration of theory and practical classes]","Academic [Stimulation for innovative thinking]","Academic [Overall Learning experience]","Academic [Condition of Lab Equipment ]","Academic [Availability of Online resources]","Academic [Research facilities in the Department for research projects/M.Phil./Ph.D.]","Academic [Opportunity to participate in seminar/workshop/conference]","Academic [Experience with research guidance]","Academic [Participation in cio-academic and cultural events]","Infrastructure [Class room Facilities ( LCD/Audio/Computer etc.)]","Infrastructure [Food Outlets/Canteens]","Infrastructure [Libraryu Reading Room Facility]","Infrastructure [Library digital resources and reading material support]","Infrastructure [Internet Facility]","Infrastructure [University Website]","Infrastructure [Department Website]","Infrastructure [Sports facilities]","Infrastructure [Hostel Facility]","Infrastructure [Drinking Water Facility]","Infrastructure [Washroom Facilities]","Support System [Experience of the admission process to the programme you have enrolled in]","Support System [Help received by Orientation programme of the Department]","Support System [Experience with University's Administrative Staff]","Support System [Experience with Department's Administrative Staff]","Support System [Experience with Announcement of result]","Support System [Experience with Availability of Marksheet]","Support System [Experience with evaluation process ]","Support System [Provision of transport facility]","Support System [Availability of healthcare facility]","Support System [Functioning of Placement Cell of the University]","Support System [Functioning of Placement Cell of the Department]","Skills developed during course of study [Analytical Skills]","Skills developed during course of study [Team work/Collaboration Skills]","Skills developed during course of study [Entrepreneurial/Job Skills]","Skills developed during course of study [Clarity of Career Perspective]","Skills developed during course of study [IT Skills]","Skills developed during course of study [Communication Skills]","Skills developed during course of study [Time Management]","Skills developed during course of study [Problem Siolving Skills]","Skills developed during course of study [Leadership Qualities]","Skills developed during course of study [Critical Thinking]","Overall University Experience [Your Overall academic experience]","Overall University Experience [Would you recommend this University to others including ]","Suggestions, if any:"
"2022/04/08 8:33:51 PM GMT+5:30","Masters","Arts","Department of Economics ","IV","Local","Female","General","Good","Good","Excellent","Excellent","Average","Good","Below Average","Average","Very Good","Very Good","Good","Excellent","Very Good","Average","Below Average","Excellent","Average","Good","Excellent","Good","Good","Good","Average","Average","Excellent","Excellent","Good","Excellent","Good","Good","Very Good","Very Good","Average","Below Average","Below Average","Very Good","Don't Know","Good","Very Good","Averge","Good","Good","Averge","Very Good","Good","Averge","Excellent","Good","Good","NA"
"2022/04/08 8:36:45 PM GMT+5:30","Masters","Social Sciences","Delhi School of Economics ","IV","Local","Female","OBC","Average","Average","Good","Average","Below Average","Average","Below Average","Below Average","Below Average","Average","Average","Average","Good","Average","Below Average","Average","Below Average","Good","Average","Below Average","Good","Good","Below Average","Don't know","Good","Good","Average","Don't Know","Average","Average","Average","Average","Average","Below Average","Below Average","Average","Good","Averge","Below Average","Below Average","Below Average","Below Average","Good","Averge","Averge","Below Average","Averge","Average","Good","Classes should be inclusive of all category and income group students. There is very less interaction with teacher and student teacher ratio is too. There is no facility of internet service and not for differently abled students."
"2022/04/08 8:36:59 PM GMT+5:30","Masters","Social Sciences","Economics ","I","PG/Rented","Female","General","Average","Average","Average","Average","Below Average","Average","Below Average","Below Average","Below Average","Average","Good","Average","Average","Average","Below Average","Good","Average","Good","Good","Average","Average","Average","Below Average","Below Average","Average","Average","Below Average","Average","Average","Average","Below Average","Average","Average","Average","Average","Average","Not  Applicable","Averge","Below Average","Below Average","Averge","Below Average","Averge","Averge","Averge","Below Average","Averge","Average","Average","Admission process should br faster and completed before the classes commence. Non traditional modes of assessment should be considered "
"2022/04/08 8:39:03 PM GMT+5:30","Masters","Science","Department of electronics","VI","PG/Rented","Female","OBC","Average","Average","Below Average","Average","Average","Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Average","Below Average","Good","Average","Below Average","Average","Average","Average","Below Average","Below Average","Average","Good","Good","Average","Average","Average","Average","Below Average","Average","Average","Average","Average","Averge","Good","Below Average","Averge","Averge","Good","Good","Averge","Averge","Averge","Good","Average","no.comment"
"2022/04/08 8:40:20 PM GMT+5:30","UG;Masters","Social Sciences","Economics ","I","PG/Rented","Female","OBC","Good","Average","Very Good","Good","Very Good","Good","Average","Average","Good","Average","Average","Below Average","Good","Average","Average","Very Good","Below Average","Excellent","Average","Below Average","Average","Good","Don't know","Below Average","Below Average","Average","Very Good","Below Average","Average","Average","Average","Average","Average","Don't Know","Don't Know","Don't Know","Excellent","Good","Averge","Averge","Good","Not Applicable","Good","Very Good","Averge","Averge","Good","Average","Good","."
"2022/04/08 8:46:07 PM GMT+5:30","Masters","Social Sciences","Department of economics","IV","NCR","Male","OBC","Excellent","Average","Good","Good","Excellent","Very Good","Very Good","Average","Good","Excellent","Below Average","Good","Very Good","Excellent","Average","Excellent","Good","Good","Below Average","Below Average","Average","Very Good","Average","Average","Excellent","Very Good","Below Average","Below Average","Below Average","Below Average","Good","Good","Good","Excellent","Excellent","Good","Excellent","Excellent","Excellent","Good","Good","Good","Excellent","Very Good","Very Good","Good","Averge","Average","Good","NA"
"2022/04/08 8:49:04 PM GMT+5:30","Masters","Arts","Economics","IV","NCR","Male","OBC","Good","Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Average","Average","Average","Below Average","Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Good","Don't Know","NA"
"2022/04/08 8:49:23 PM GMT+5:30","Masters","Arts","Economics ","IV","NCR","Female","General","Good","Good","Good","Good","Good","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Average","Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Good","Good","N/A"
"2022/04/08 8:52:39 PM GMT+5:30","Masters","Social Sciences","Political science","I","PG/Rented","Female","General","Very Good","Good","Good","Average","Average","Average","Good","Good","Good","Good","Good","Not applicable","Very Good","Not applicable","Very Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","N/A"
"2022/04/08 8:56:21 PM GMT+5:30","Ph.D","Social Sciences","Social Work","Beyond VI","Hostel;Other","Male","OBC","Excellent","Excellent","Excellent","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Good","Average","Average","Good","Good","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Good","Good","Good","Good","Good","Very Good","Good","Good","Excellent","Excellent","NA"
"2022/04/08 9:00:17 PM GMT+5:30","Masters","Social Sciences","Department of East Asian Studies","IV","Other","Female","General","Excellent","Good","Very Good","Very Good","Excellent","Excellent","Very Good","Excellent","Very Good","Don't know","Excellent","Very Good","Excellent","Very Good","Don't know","Don't know","Don't know","Don't know","Good","Don't know","Below Average","Average","Not applicable","Not applicable","Don't know","Don't know","Average","Good","Average","Average","Average","Good","Very Good","Not  Applicable","Not  Applicable","Don't Know","Don't Know","Very Good","Excellent","Very Good","Very Good","Not Applicable","Very Good","Good","Excellent","Good","Excellent","Very Good","Very Good","Enrollment process, Exam form fill up etc processes needs to be done more efficiently."
"2022/04/08 9:02:47 PM GMT+5:30","Masters","Arts","Economics ","I","Other","Male","ST","Good","Good","Excellent","Excellent","Very Good","Good","Good","Good","Very Good","Don't know","Excellent","Don't know","Very Good","Good","Good","Don't know","Don't know","Don't know","Don't know","Excellent","Excellent","Excellent","Don't know","Don't know","Don't know","Don't know","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Don't Know","Don't Know","Very Good","Very Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Excellent","No information is provided about hostel availablity "
"2022/04/08 9:05:14 PM GMT+5:30","Ph.D","Law","Law","Beyond VI","Local","Female","General","Very Good","Excellent","Excellent","Excellent","Very Good","Good","Very Good","Excellent","Excellent","Very Good","Excellent","Excellent","Good","Very Good","Good","Very Good","Average","Very Good","Excellent","Good","Good","Good","Good","Good","Good","Good","Very Good","Good","Good","Below Average","Good","Very Good","Very Good","Good","Good","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","NA"
"2022/04/08 9:05:46 PM GMT+5:30","Masters","Arts","Delhi school of social work ","IV","Other","Male","General","Very Good","Very Good","Good","Very Good","Excellent","Good","Good","Good","Very Good","Good","Very Good","Not applicable","Very Good","Very Good","Very Good","Good","Good","Very Good","Good","Good","Very Good","Excellent","Average","Good","Good","Good","Very Good","Excellent","Good","Excellent","Very Good","Very Good","Very Good","Average","Average","Excellent","Excellent","Good","Excellent","Good","Very Good","Good","Very Good","Good","Good","Good","Good","Excellent","Excellent","The course of Delhi school of social work (DSSW) is structured in the best way. I recommend it to every one who wants to learn social work contents with sure shot placement and renowned job opportunities in such a low fees of university."
"2022/04/08 9:06:40 PM GMT+5:30","Ph.D","Social Sciences","Department of Social work","Beyond VI","NCR","Female","General","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Average","Good","Excellent","Very Good","Good","Below Average","Average","Average","Average","Good","Average","Average","Not applicable","Average","Average","Good","Very Good","Below Average","Below Average","Good","Below Average","Good","Not  Applicable","Don't Know","Not  Applicable","Not  Applicable","Averge","Good","Averge","Good","Averge","Good","Averge","Good","Good","Good","Below Average","Below Average","There is a lot of professionalism that the University has to acquire. No Job placements for Doctoral fellows, no jobs in the university, non net fellowship is peanuts and that too is a hassle to obtain. "
"2022/04/08 9:07:48 PM GMT+5:30","Masters","Science","Genetics ","I","Local","Female","SC","Good","Good","Good","Good","Average","Average","Average","Good","Good","Average","Average","Below Average","Below Average","Below Average","Below Average","Good","Average","Good","Good","Average","Good","Average","Below Average","Average","Average","Good","Good","Below Average","Good","Good","Don't Know","Don't Know","Don't Know","Below Average","Average","Below Average","Below Average","Good","Very Good","Averge","Averge","Good","Very Good","Good","Good","Very Good","Good","Good","Excellent","None"
"2022/04/08 9:13:59 PM GMT+5:30","Masters","Arts","Department of Economics ","IV","PG/Rented","Female","EWS","Excellent","Excellent","Excellent","Average","Very Good","Excellent","Excellent","Very Good","Very Good","Good","Very Good","Average","Very Good","Good","Below Average","Very Good","Average","Good","Good","Average","Good","Very Good","Below Average","Average","Good","Average","Very Good","Average","Below Average","Good","Very Good","Very Good","Average","Below Average","Below Average","Average","Very Good","Excellent","Averge","Averge","Excellent","Good","Good","Very Good","Excellent","Good","Very Good","Very Good","Excellent","Nothing as of now"
"2022/04/08 9:21:48 PM GMT+5:30","Masters","Arts","Economics","II","Local","Female","General","Very Good","Good","Very Good","Average","Good","Average","Good","Average","Average","Not applicable","Very Good","Not applicable","Excellent","Good","Average","Very Good","Average","Very Good","Don't know","Below Average","Good","Good","Don't know","Not applicable","Good","Good","Very Good","Good","Good","Good","Good","Good","Good","Not  Applicable","Don't Know","Very Good","Very Good","Good","Good","Good","Very Good","Good","Very Good","Good","Very Good","Very Good","Very Good","Good","Good","No"
"2022/04/08 9:24:30 PM GMT+5:30","Masters","Arts","Department of Germanic and Romance studies","IV","NCR","Female","General","Good","Good","Good","Average","Good","Average","Good","Good","Good","Good","Average","Average","Good","Good","Good","Good","Good","Average","Average","Average","Good","Good","Average","Average","Below Average","Average","Very Good","Very Good","Good","Good","Good","Very Good","Very Good","Good","Good","Good","Average","Good","Good","Averge","Good","Averge","Good","Averge","Good","Good","Good","Good","Good","There should be a transparency in few things like sharing all the information and notification with all the students involved. I feel discriminated in certain things and the information regarding the important things have not been shared with all the students, which creates lack of communication and hinders the opportunity in the academics. They are not transparent about the student exchange programme and various other things which is a derogatory move and needs to be changed. Since I was also a part of the course then I should also get the right to participate in every competition and assessment, and to present myself at various levels and should not be controlled from participating in the events by not providing the information and should get all the information about the mandatory things. Transparency is highly missing. "
"2022/04/08 9:28:14 PM GMT+5:30","Masters","Social Sciences","Social work","IV","PG/Rented","Female","ST","Excellent","Good","Good","Average","Average","Good","Very Good","Very Good","Not applicable","Not applicable","Good","Excellent","Excellent","Very Good","Not applicable","Don't know","Don't know","Don't know","Don't know","Don't know","Excellent","Excellent","Don't know","Don't know","Don't know","Not applicable","Very Good","Excellent","Good","Good","Average","Average","Below Average","Don't Know","Don't Know","Excellent","Excellent","Good","Good","Good","Very Good","Excellent","Very Good","Averge","Good","Averge","Good","Good","Don't Know","Chek examination Copy correctly,the ABE is not good next time conduct OBE/ physical exm"
"2022/04/08 9:31:27 PM GMT+5:30","Masters","Social Sciences","Department of Economics","I","Local","Female","General","Good","Average","Very Good","Average","Good","Very Good","Good","Average","Average","Average","Average","Good","Excellent","Very Good","Very Good","Average","Below Average","Good","Average","Average","Average","Average","Average","Average","Average","Below Average","Good","Average","Average","Average","Average","Good","Average","Below Average","Average","Good","Good","Averge","Averge","Averge","Good","Below Average","Averge","Below Average","Averge","Averge","Averge","Average","Good","Online lecture and tutorial recordings should be made available even during an offline semester for students who miss them due to personal reasons. Also, college should help students more during their internship and placement season. College professors as well as placement cell should work together instead of behaving as if they're mutually exclusive; this creates a lot of pressure on the students. 
At the same time, the syllabus should be reduced as managing 4 subjects in semester 2 with 2 parts in each subject as well as an internship is extremely tough. 
Another suggestion is that past year solutions should be made available too. "
"2022/04/08 9:36:47 PM GMT+5:30","Masters","Arts","Economics","I","PG/Rented","Female","General","Average","Below Average","Average","Average","Average","Below Average","Below Average","Below Average","Average","Below Average","Good","Average","Good","Below Average","Below Average","Average","Good","Good","Below Average","Average","Average","Average","Average","Below Average","Average","Average","Good","Below Average","Below Average","Average","Average","Average","Below Average","Average","Average","Average","Good","Good","Below Average","Below Average","Below Average","Below Average","Averge","Good","Averge","Below Average","Averge","Average","Average","More organized & better planning required. Because of this unusual semester thing, we're facing quite a lot of problems. We're not able to get a break to do internships & other stuff, so something should be done in that regard, but it provision of getting recordings of offline classes. That would also be of great help "
"2022/04/08 9:37:10 PM GMT+5:30","Masters","Science","Department of Electronic Science","IV","Hostel","Male","General","Good","Good","Good","Good","Very Good","Good","Good","Good","Good","Good","Very Good","Not applicable","Very Good","Not applicable","Excellent","Good","Average","Good","Good","Good","Good","Good","Average","Very Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Average","Good","Good","Averge","Averge","Good","Good","Good","Good","Averge","Good","Good","Good","1) At one point of time there is a lot of activities going in various departments in a college/campus. Every college/campus can put up a broad plan (for the year) of those activities up on a web portal. It would become easier for a student to know and plan in advance where he/she would like to participate. The winners from various forums could also be put up on the portal and the activities should be monitored in real time. It would bring in a feeling of competition and transparency. A new comer would largely benefit. A more interactive alumnus would evolve. 
2) Similar transparency can be brought about in the allocation of funds for various fests. Fests are a learning curve for a student. Less participative students would also benefit and learn how to manage the resources when a proper allocation to various activities is laid out at one place. Departments would learn from each other. 
3) College elections can be better organised when one on one debate take place between candidates. A more informed voter would have more reasons to elect a candidate. Candidates will have to work hard on their skills and money's strength would decrease. 
4) Quality of grounds can improve. A more participative audience with better seating facilities will motivate players to do better. 

Thank you. "
"2022/04/08 9:39:56 PM GMT+5:30","Masters","Arts","Department of economics","IV","PG/Rented","Female","General","Very Good","Excellent","Excellent","Good","Average","Average","Not applicable","Good","Good","Not applicable","Good","Not applicable","Good","Not applicable","Average","Good","Good","Good","Good","Good","Good","Good","Good","Not applicable","Good","Good","Very Good","Good","Good","Good","Good","Good","Average","Not  Applicable","Good","Good","Very Good","Good","Very Good","Good","Good","Good","Good","Very Good","Good","Good","Good","Good","Very Good","NA"
"2022/04/08 9:40:29 PM GMT+5:30","Masters","Arts","Department of Economics","I","Local","Female","General","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Good","Very Good","Very Good","Good","Good","Average","Below Average","Very Good","Below Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Good","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Averge","Averge","Averge","Good","Averge","Good","Averge","Good","Averge","Averge","Below Average","Below Average","-"
"2022/04/08 9:41:50 PM GMT+5:30","Masters","Science","Department of Botany","IV","PG/Rented","Female","General","Excellent","Very Good","Good","Average","Good","Excellent","Very Good","Very Good","Very Good","Excellent","Excellent","Good","Good","Good","Average","Excellent","Average","Excellent","Very Good","Good","Average","Average","Average","Below Average","Very Good","Excellent","Very Good","Very Good","Good","Very Good","Very Good","Very Good","Good","Below Average","Good","Very Good","Very Good","Excellent","Excellent","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Excellent","Excellent","Excellent","Since COVID started, students have missed a lot on the intercultural activities and programs. There should be more such programs. Also, there should be a university campus transportation reserved for the students. "
"2022/04/08 10:02:42 PM GMT+5:30","Masters","Social Sciences","Department of East Asian Studies ","II","Local","Female","General","Very Good","Very Good","Excellent","Excellent","Excellent","Very Good","Good","Very Good","Very Good","Good","Excellent","Excellent","Good","Excellent","Good","Good","Good","Excellent","Good","Excellent","Very Good","Good","Average","Average","Average","Good","Good","Good","Very Good","Very Good","Average","Average","Good","Very Good","Average","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Good","Excellent","Excellent","Excellent","Very Good","Excellent","Very Good","Very Good","No"
"2022/04/08 10:03:07 PM GMT+5:30","UG","Social Sciences","Department of East Asian studies","II","Local","Male","General","Excellent","Very Good","Excellent","Very Good","Excellent","Very Good","Good","Very Good","Very Good","Good","Excellent","Excellent","Good","Excellent","Good","Good","Good","Excellent","Good","Good","Very Good","Good","Average","Average","Average","Very Good","Good","Good","Very Good","Very Good","Good","Good","Good","Very Good","Average","Very Good","Very Good","Very Good","Excellent","Below Average","Very Good","Below Average","Very Good","Very Good","Very Good","Good","Very Good","Very Good","Very Good","No"
"2022/04/08 10:05:21 PM GMT+5:30","Masters","Social Sciences;Arts","Department of Political Science","I","PG/Rented","Male","EWS","Very Good","Very Good","Good","Good","Very Good","Average","Average","Very Good","Very Good","Good","Very Good","Very Good","Average","Good","Good","Average","Good","Good","Average","Below Average","Good","Average","Good","Average","Average","Very Good","Good","Average","Average","Average","Average","Average","Average","Good","Average","Below Average","Below Average","Very Good","Good","Averge","Very Good","Good","Averge","Good","Good","Excellent","Good","Excellent","Excellent","Hostel facility for all"
"2022/04/08 10:16:06 PM GMT+5:30","Masters","Arts","Dept of economics","I","Other","Male","ST","Very Good","Good","Average","Average","Average","Below Average","Average","Average","Good","Good","Good","Below Average","Average","Average","Below Average","Below Average","Average","Very Good","Very Good","Good","Very Good","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Good","Excellent","Excellent","Averge","Good","Below Average","Averge","Averge","Averge","Below Average","Averge","Averge","Averge","Good","Average","Better teacher Nd student interaction"
"2022/04/08 10:16:27 PM GMT+5:30","Ph.D","Arts","Department of Economics ","I","Local","Male","ST","Very Good","Very Good","Excellent","Very Good","Very Good","Very Good","Good","Very Good","Excellent","Excellent","Excellent","Very Good","Very Good","Good","Average","Good","Average","Very Good","Very Good","Very Good","Good","Very Good","Average","Good","Average","Average","Good","Below Average","Good","Average","Average","Good","Good","Average","Good","Good","Good","Very Good","Good","Averge","Good","Good","Good","Good","Good","Good","Good","Average","Very Good","Washrooms should be decently maintained. More financial support and guidance to research scholars would be appreciated."
"2022/04/08 10:25:46 PM GMT+5:30","Ph.D","Social Sciences","department of social work","I","PG/Rented","Male","General","Excellent","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Very Good","Excellent","Excellent","Excellent","Very Good","Excellent","Excellent","Very Good","Very Good","Excellent","Very Good","Very Good","Excellent","Very Good","Excellent","Very Good","Very Good","Excellent","Very Good","Very Good","Very Good","Excellent","Don't Know","Don't Know","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","NA"
"2022/04/08 10:28:03 PM GMT+5:30","Masters","Arts","Economics","II","PG/Rented","Female","ST","Good","Good","Good","Below Average","Average","Average","Average","Average","Average","Excellent","Average","Excellent","Excellent","Excellent","Excellent","Good","Good","Good","Don't know","Don't know","Average","Good","Don't know","Don't know","Good","Average","Average","Average","Don't Know","Good","Average","Average","Average","Don't Know","Don't Know","Don't Know","Don't Know","Below Average","Below Average","Don't Know","Below Average","Not Applicable","Not Applicable","Below Average","Don't Know","Not Applicable","Don't Know","Below Average","Don't Know","NA"
"2022/04/08 10:40:14 PM GMT+5:30","Masters","Social Sciences","Department of Sociology","I","Local","Female","General","Very Good","Very Good","Good","Excellent","Excellent","Excellent","Very Good","Excellent","Excellent","Not applicable","Very Good","Good","Good","Not applicable","Good","Good","Good","Excellent","Excellent","Not applicable","Good","Good","Don't know","Don't know","Average","Average","Good","Very Good","Good","Very Good","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Average","Average","Very Good","Good","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Excellent","Excellent","-"
"2022/04/08 10:46:27 PM GMT+5:30","Masters","Arts","Department of Economics, DsE","II","Local","Male","OBC","Average","Below Average","Average","Average","Below Average","Below Average","Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Average","Average","Below Average","Below Average","Good","Average","Average","Below Average","Below Average","Good","Good","Good","Good","Good","Good","Good","Good","Average","Good","Very Good","Good","Good","Good","Averge","Good","Good","Good","Good","Good","Good","Average","Excellent","Na"
"2022/04/08 11:03:20 PM GMT+5:30","Masters","Arts","Political science ","IV","PG/Rented","Male","General","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Don't know","Don't know","Don't know","Don't know","Don't know","Very Good","Very Good","Don't know","Don't know","Don't know","Don't know","Good","Average","Average","Average","Below Average","Below Average","Average","Average","Average","Average","Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Very Good","Very Good","Good"
"2022/04/08 11:03:32 PM GMT+5:30","Masters","Social Sciences","Economics","IV","PG/Rented","Male","General","Very Good","Average","Good","Good","Good","Good","Below Average","Below Average","Very Good","Average","Excellent","Very Good","Good","Below Average","Below Average","Excellent","Good","Excellent","Excellent","Below Average","Very Good","Good","Below Average","Below Average","Good","Good","Very Good","Below Average","Average","Average","Average","Average","Below Average","Below Average","Not  Applicable","Below Average","Average","Excellent","Excellent","Don't Know","Excellent","Below Average","Good","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","I have put very honest thoughts while filling this survey. it answers all my experience. "
"2022/04/08 11:25:16 PM GMT+5:30","Masters","Social Sciences","Department of Economics","IV","Local","Male","General","Excellent","Very Good","Excellent","Very Good","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Don't know","Excellent","Don't know","Very Good","Excellent","Good","Excellent","Excellent","Below Average","Very Good","Very Good","Average","Don't know","Good","Good","Excellent","Very Good","Don't Know","Very Good","Very Good","Don't Know","Good","Don't Know","Don't Know","Don't Know","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","

No"
"2022/04/08 11:26:13 PM GMT+5:30","Masters","Arts","Department of Economics ","II","PG/Rented","Male","General","Very Good","Good","Average","Good","Good","Below Average","Below Average","Below Average","Good","Don't know","Good","Don't know","Excellent","Not applicable","Good","Very Good","Average","Excellent","Excellent","Don't know","Good","Good","Below Average","Don't know","Don't know","Don't know","Excellent","Good","Very Good","Very Good","Very Good","Excellent","Excellent","Don't Know","Don't Know","Don't Know","Excellent","Very Good","Not Applicable","Not Applicable","Very Good","Not Applicable","Very Good","Very Good","Very Good","Not Applicable","Very Good","Very Good","Excellent","The reduced academic calendar this year is quite troublesome. Internships and extra curricular activities play a crucial role in todays life. The 2 months summer break the the students receive helps to explore new things, understand themselves better and go out and try different stuffs one would not find the time to do when the classes run in full throttle. 
In regards to this the decision by the University both this and the previous years to restrict the Summer break to just a week is something I found  not aligned to the needs of the current generation. At times when other university students do their Upskilling in these two months, DU students have to take a seat back and lose on some great opportunities. This reduces their acceptability as students with high intellect and creativeness."
"2022/04/08 11:29:25 PM GMT+5:30","Masters","Arts","Economics ","II","Local","Female","General","Good","Good","Good","Good","Average","Good","Average","Good","Good","Average","Good","Don't know","Good","Don't know","Don't know","Good","Average","Good","Don't know","Don't know","Good","Good","Don't know","Don't know","Don't know","Average","Very Good","Average","Don't Know","Don't Know","Good","Don't Know","Average","Don't Know","Don't Know","Don't Know","Good","Very Good","Very Good","Averge","Averge","Averge","Good","Good","Good","Good","Good","Very Good","Good","-"
"2022/04/08 11:33:36 PM GMT+5:30","Masters","Social Sciences","Department of Economics","IV","PG/Rented","Female","SC","Good","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Average","Good","Good","Good","Good","Average","Good","Good","Good","Below Average","Average","Average","Average","Below Average","Good","Good","Average","Good","Average","Average","Good","Good","Good","Average","Average","Good","Good","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Good","Averge","Good","Average","Good","-"
"2022/04/08 11:44:54 PM GMT+5:30","Masters","Social Sciences","Political science","IV","Local","Female","OBC","Very Good","Excellent","Very Good","Very Good","Excellent","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Excellent","Very Good","Very Good","Good","Very Good","Good","Average","Good","Very Good","Excellent","Good","Very Good","Good","Good","Very Good","Good","Good","Good","Very Good","Good","Good","Good","Good","Good","Excellent","Very Good","Very Good","Very Good","Good","Excellent","Very Good","Excellent","Excellent","Very Good","Very Good","Good","Improvement of internet connectivity"
"2022/04/09 12:07:54 AM GMT+5:30","Masters","Social Sciences","Department of Sociology","IV","PG/Rented","Female","General","Good","Very Good","Average","Below Average","Average","Good","Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Good","Below Average","Average","Average","Good","Average","Below Average","Average","Average","Good","Good","Below Average","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Good","Good","Below Average","Averge","Below Average","Averge","Below Average","Averge","Averge","Good","Average","Below Average","Administration services need to get MUCH better in the university. Every little thing requires too much hassle and the admin staff is hardly helpful or kind.
Evaluation of exam papers need serious improvement. Really messes up marks despite brilliant performance. It's a major issue as it's a question of one's future opportunities.

Department syllabi needs to be updated and learning needs to be a little less focused on theory. 
The pedagogy and the evaluation system within the tutorial programme in the department of sociology needs serious changes. So many batchmates have had horrible experiences with no solution from the department. 
"
"2022/04/09 12:13:45 AM GMT+5:30","Masters","Social Sciences","Department of Social Work ","IV","PG/Rented","Female","PwD","Very Good","Good","Average","Very Good","Excellent","Very Good","Very Good","Very Good","Very Good","Average","Average","Very Good","Very Good","Good","Very Good","Good","Average","Good","Below Average","Good","Very Good","Good","Below Average","Below Average","Below Average","Below Average","Good","Excellent","Good","Good","Good","Good","Very Good","Don't Know","Below Average","Very Good","Excellent","Good","Good","Good","Good","Good","Good","Good","Good","Averge","Good","Excellent","Excellent","Na"
